"filename", "language", "JavaScript", "CSS", "SCSS", "HTML", "Markdown", "XML", "Batch", "JSON", "Properties", "Java", "Less", "comment", "blank", "total"
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\owl.carousel\assets\owl.theme.default.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\owl.carousel\assets\owl.theme.green.css", "CSS", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 51
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\owl.carousel\assets\owl.theme.green.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\owl.carousel\owl.carousel.js", "JavaScript", 2002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 958, 489, 3449
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\owl.carousel\owl.carousel.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\php-email-form\validate.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 127
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\remixicon\remixicon.css", "CSS", 0, 2181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 2196
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\remixicon\remixicon.glyph.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\remixicon\remixicon.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2183, 10, 5, 2198
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\remixicon\remixicon.svg", "XML", 0, 0, 0, 0, 0, 6459, 0, 0, 0, 0, 0, 10, 1, 6470
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\remixicon\remixicon.symbol.svg", "XML", 0, 0, 0, 0, 0, 10736, 0, 0, 0, 0, 0, 10, 0, 10746
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\venobox\venobox.css", "CSS", 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 251
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\venobox\venobox.js", "JavaScript", 638, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 116, 809
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\venobox\venobox.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\venobox\venobox.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 13
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\css\animate.css", "CSS", 0, 2800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 530, 3341
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\css\bootstrap-theme.css", "CSS", 0, 581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 588
